# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	7235
#@/user_id	ISuthRain
a 	啊	c=76 d=7.21404 t=7235
a cai 	阿財	c=1 d=0.386741 t=7235
a gan 	阿甘	c=3 d=2.95581 t=7078
a li 	阿里	c=1 d=1 t=7182
a mei yong 	啊沒用	c=1 d=0.00748391 t=7235
ai 	唉	c=10 d=0.563329 t=7235
ai ni 	愛你	c=2 d=0.270037 t=7235
ai wo 	愛我	c=1 d=0.0140519 t=7235
ai ya 	哎呀	c=1 d=0.99005 t=7235
an 	按	c=5 d=0.860708 t=7235
an 	暗	c=1 d=0.559898 t=7235
an hao 	暗號	c=1 d=0.121238 t=7235
an jian 	按鍵	c=6 d=1.84329 t=7235
an kang 	安康	c=1 d=0.891366 t=7235
an niu 	按鈕	c=2 d=0.429902 t=7235
an xia 	按下	c=2 d=0.370045 t=7235
an zhao 	按照	c=1 d=0.100761 t=7235
an zhuang 	安裝	c=19 d=3.60356 t=7235
ao 	奧	c=1 d=0.228779 t=7235
ao 	熬	c=1 d=0.348192 t=7235
ao ba 	熬吧	c=1 d=0.0309618 t=7235
ao dao 	熬到	c=1 d=0.970446 t=7235
ao hui 	懊悔	c=0 d=0.0113608 t=7235
ao si ka 	奧斯卡	c=1 d=0.408608 t=7235
ao tian 	傲天	c=1 d=0.557106 t=7235
ba 	吧	c=37 d=3.28653 t=7235
ba 	把	c=23 d=2.15024 t=7235
ba le 	罷了	c=1 d=0.514274 t=7235
ba ni 	吧你	c=0 d=0.0631284 t=7235
ba ni 	把你	c=1 d=0.460704 t=7235
ba shou wan 	把手腕	c=1 d=0.644036 t=7235
bai 	擺	c=1 d=0.467666 t=7235
bai 	白	c=2 d=0.385072 t=7235
bai 	百	c=1 d=0.0405589 t=7235
bai fen 	百分	c=0 d=0.019205 t=7235
bai fen bai 	百分百	c=2 d=0.177284 t=7235
bai fen gong fu 	百分功夫	c=1 d=0.193013 t=7235
bai ri meng 	白日夢	c=1 d=1 t=7235
ban 	板	c=1 d=0.774916 t=7235
ban 	版	c=2 d=0.87501 t=7235
ban ben 	版本	c=8 d=3.51376 t=7235
ban jiao 	半角	c=2 d=0.0080118 t=7235
ban nian 	半年	c=2 d=0.972698 t=7235
ban yue 	半月	c=1 d=0.509156 t=7235
bang 	幫	c=2 d=0.323086 t=7235
bang ding 	綁定	c=12 d=0.537907 t=7235
bang ren 	幫人	c=1 d=0.216536 t=7235
bao 	包	c=16 d=2.96565 t=7235
bao 	暴	c=1 d=0.0972957 t=7235
bao chi 	保持	c=1 d=0.0911727 t=7235
bao cun 	保存	c=9 d=0.902679 t=7235
bao cuo 	報錯	c=4 d=2.08009 t=7235
bao han 	包含	c=1 d=0.45612 t=7235
bao jian 	寶劍	c=1 d=1 t=7214
bao lai wu 	寶萊塢	c=2 d=1.04165 t=7235
bao liu 	保留	c=1 d=0.0515605 t=7235
bao qian 	抱歉	c=1 d=0.120032 t=7235
bao yang 	保養	c=1 d=0.647265 t=7235
bei 	唄	c=4 d=1.3068 t=7235
bei 	盃	c=1 d=0.491644 t=7235
bei 	被	c=13 d=1.07453 t=7235
bei dao 	被盜	c=1 d=0.0104099 t=7235
bei dui bei 	背對背	c=1 d=0.204948 t=7235
bei fen 	備份	c=1 d=0.514274 t=7235
bei guang 	背光	c=1 d=1 t=6951
ben di 	本地	c=4 d=2.49249 t=7235
ben ji 	本機	c=3 d=0.222236 t=7235
ben lai 	本來	c=1 d=1 t=7028
ben shen 	本身	c=3 d=0.425563 t=7235
ben shi 	本事	c=1 d=0.0675424 t=7235
ben zhi 	本質	c=1 d=0.0147723 t=7235
bi 	幣	c=10 d=1.49945 t=7235
bi 	比	c=6 d=1.23771 t=7235
bi ci bi ci 	彼此彼此	c=3 d=0.563729 t=7235
bi ge 	逼格	c=1 d=0.0254765 t=7235
bi jing 	畢竟	c=2 d=0.922651 t=7235
bi ni 	比你	c=1 d=0.285076 t=7235
bi wo 	比我	c=1 d=0.537944 t=7235
bi yao 	必要	c=1 d=0.0278757 t=7235
bi zi 	鼻子	c=1 d=0.740818 t=7235
bian 	變	c=1 d=0.15259 t=7235
bian cheng 	變成	c=1 d=0.172045 t=7235
bian de 	變得	c=2 d=0.821514 t=7235
bian ji 	編輯	c=1 d=0.293758 t=7235
bian li 	遍歷	c=2 d=0.932394 t=7235
bian liang 	變量	c=2 d=0.997021 t=7235
bian ma 	編碼	c=1 d=0.67368 t=7235
bian xie 	編寫	c=1 d=0.97531 t=7235
bian yi 	便宜	c=1 d=0.227638 t=7235
bian yi 	編譯	c=5 d=0.668098 t=7235
bian yi ming ling 	編譯命令	c=1 d=0.00530026 t=7235
biao 	表	c=3 d=0.586243 t=7235
biao ge 	表格	c=3 d=1.81484 t=7235
biao mei 	表妹	c=1 d=0.202909 t=7235
biao qing 	表情	c=1 d=0.619922 t=7235
biao shi 	表示	c=2 d=0.0136728 t=7235
biao ti 	標題	c=2 d=0.0419997 t=7235
bie 	別	c=1 d=0.600496 t=7235
bie ren 	別人	c=2 d=0.270134 t=7235
bin 	斌	c=1 d=0.0599047 t=7235
bing 	並	c=1 d=0.017249 t=7235
bing 	餅	c=2 d=0.33911 t=7235
bing cun 	並存	c=1 d=0.865022 t=7235
bo ke 	博客	c=4 d=0.292893 t=7235
bu 	不	c=26 d=1.90127 t=7235
bu 	布	c=1 d=0.666977 t=7235
bu an zhuang 	不安裝	c=1 d=0.00444934 t=7235
bu bu 	不不	c=1 d=0.251579 t=7235
bu can jia 	不參加	c=1 d=0.0218184 t=7235
bu chong yao 	不重要	c=1 d=0.190139 t=7235
bu chu lai 	不出來	c=1 d=0.0495388 t=7235
bu chu men 	不出門	c=1 d=0.453845 t=7235
bu cuo 	不錯	c=1 d=0.97531 t=7235
bu da 	不大	c=2 d=0.575047 t=7235
bu dai 	不帶	c=1 d=0.0332068 t=7235
bu dao 	不到	c=2 d=0.146611 t=7235
bu de bu 	不得不	c=1 d=0.941765 t=7235
bu ding 	布丁	c=1 d=0.474734 t=7235
bu dong 	不動	c=1 d=0.214381 t=7235
bu dong 	不懂	c=2 d=0.0114199 t=7235
bu dui 	不對	c=1 d=0.891366 t=7235
bu gao 	不高	c=1 d=0.744532 t=7235
bu gen 	不跟	c=2 d=0.555216 t=7235
bu gou 	不夠	c=3 d=0.54789 t=7235
bu gua 	不掛	c=1 d=0.280832 t=7235
bu guan 	不管	c=3 d=0.369723 t=7235
bu guo 	不過	c=7 d=1.06797 t=7235
bu hao 	不好	c=3 d=0.402714 t=7235
bu hui 	不會	c=6 d=0.716262 t=7235
bu ji jiao 	不計較	c=1 d=0.118245 t=7235
bu jian 	不見	c=2 d=0.743163 t=7235
bu jian guai 	不見怪	c=1 d=0.927743 t=7235
bu jing ya 	不驚訝	c=1 d=0.494109 t=7235
bu jiu shi 	不就是	c=2 d=0.873716 t=7235
bu kai qi 	不開啓	c=1 d=0.97531 t=7235
bu ke 	不可	c=1 d=0.965605 t=7235
bu ke neng 	不可能	c=2 d=0.494109 t=7235
bu ke si yi 	不可思議	c=1 d=0.574072 t=7235
bu le 	不了	c=3 d=1.7366 t=7235
bu mai 	不買	c=1 d=0.371577 t=7235
bu ming bai 	不明白	c=2 d=0.0581343 t=7235
bu neng 	不能	c=9 d=1.05224 t=7235
bu qi 	不起	c=1 d=0.158025 t=7235
bu qing chu 	不清楚	c=2 d=0.722527 t=7235
bu qu 	不去	c=2 d=0.25691 t=7235
bu quan 	補全	c=8 d=0.855778 t=7235
bu quan shi 	不全是	c=1 d=0.205975 t=7235
bu ran 	不然	c=1 d=0.0167392 t=7235
bu ren 	不忍	c=1 d=0.0190631 t=7235
bu shang 	不上	c=0 d=0.0782705 t=7235
bu shang ji 	不上幾	c=1 d=0.786628 t=7235
bu shen 	不審	c=1 d=0.579842 t=7235
bu shi 	不失	c=1 d=0.028297 t=7235
bu shi 	不是	c=22 d=2.07846 t=7235
bu shi yong 	不使用	c=3 d=0.767206 t=7235
bu shu fu 	不舒服	c=1 d=0.298197 t=7235
bu shuo 	不說	c=0 d=0.00824965 t=7235
bu shuo le 	不說了	c=1 d=1 t=6986
bu shuo wo men 	不說我們	c=1 d=0.08291 t=7235
bu tai 	不太	c=3 d=0.479505 t=7235
bu tai qing chu 	不太清楚	c=1 d=0.574072 t=7235
bu tong 	不同	c=1 d=0.268474 t=7235
bu wan 	不完	c=1 d=0.0862936 t=7235
bu wu zheng ye 	不務正業	c=1 d=0.04573 t=7235
bu xi huan 	不喜歡	c=0 d=0.00893673 t=7235
bu xiang 	不想	c=2 d=0.206648 t=7235
bu xin xu 	不心虛	c=1 d=0.272532 t=7235
bu xing 	不行	c=4 d=1.1074 t=7235
bu xu yao 	不需要	c=3 d=0.0787952 t=7235
bu yan er yu 	不言而喻	c=1 d=0.364219 t=7235
bu yao 	不要	c=10 d=1.47428 t=7235
bu yao dan xin 	不要擔心	c=1 d=0.031117 t=7235
bu yi ding 	不一定	c=1 d=0.219808 t=7235
bu ying gai 	不應該	c=1 d=0.574072 t=7235
bu yong 	不用	c=5 d=0.806985 t=7235
bu you hao 	不友好	c=1 d=0.733447 t=7235
bu zai 	不在	c=1 d=0.0992613 t=7235
bu zhi 	不知	c=1 d=0.145148 t=7235
bu zhi chi 	不支持	c=1 d=1 t=7174
bu zhi dao 	不知道	c=13 d=1.61276 t=7235
cai 	才	c=10 d=1.19867 t=7235
cai 	菜	c=9 d=1.0382 t=7235
cai dan 	菜單	c=1 d=0.311923 t=7235
cai dao 	猜到	c=1 d=0.168638 t=7235
cai fa xian 	才發現	c=1 d=0.865022 t=7235
cai fan er 	才反而	c=1 d=0.755784 t=7235
cai fu 	財富	c=1 d=0.167797 t=7235
cai guo 	才過	c=1 d=0.522046 t=7235
cai hao 	纔好	c=2 d=0.585669 t=7235
cai hui 	纔會	c=1 d=0.276651 t=7235
cai ji shi yuan zui 	菜即是原罪	c=1 d=0.606531 t=7235
cai neng 	才能	c=4 d=0.74464 t=7235
cai niao 	菜鳥	c=6 d=0.98626 t=7235
cai shi 	纔是	c=3 d=0.98256 t=7235
cai zhi dao 	才知道	c=1 d=0.759572 t=7235
can 	慘	c=5 d=0.531288 t=7235
can yu 	參與	c=1 d=0.150318 t=7235
cang ku 	倉庫	c=2 d=0.628135 t=7235
cao 	槽	c=1 d=0.272532 t=7235
cao zuo 	操作	c=3 d=0.565525 t=7235
ce 	測	c=2 d=1.96079 t=7053
ce mian 	側面	c=1 d=0.860708 t=7235
ce shi 	測試	c=3 d=0.874561 t=7235
ce su 	測速	c=1 d=0.444858 t=7235
cha 	差	c=2 d=0.018968 t=7235
cha 	查	c=2 d=0.904874 t=7235
cha bu duo 	差不多	c=6 d=0.536932 t=7235
cha cha 	查查	c=1 d=1 t=6943
cha jian 	插件	c=8 d=1.58191 t=7235
cha kan 	查看	c=1 d=0.292293 t=7235
